A1100a,A1100b,A1100c,D1100a,D1100b,D1100c
0,0,0,0,0,0
0,0,0,0,0,0
0.13121414,-0.01175499,-0.32845116,1.26231,1.2212944,1.2703304
-0.80890083,-0.79473305,-0.82554626,-0.18287468,-0.20043182,-0.18211365
0,12.491853,12.35425,13.638323,13.777666,13.814783
11.165228,11.163511,11.136789,9.216843,9.199337,9.152201
14.859632,14.825306,14.802919,0,12.522091,0
0.4524994,0.34848404,0.37566566,0.38686943,0.3375759,0.36482048
0,0,0,16.843504,16.884861,16.875366
-1.1736736,-1.1741543,-1.1775379,-1.1315536,-1.1571999,-1.6187792
15.13049,14.776125,14.632654,16.58411,15.921492,16.114637
0,0,0,0,0,0
0.883935,0.7555971,0.7689619,2.4503508,2.4196672,2.392436
0,0,0,0,0,0
12.861087,12.672205,12.766944,14.157109,14.179053,14.237135
13.574475,13.963709,0,0,0,0
-0.9196291,-1.0296736,-0.99713135,-0.7942858,-0.8197365,-0.7940321
0,0,0,0,0,0
-0.6336193,-0.59866714,-0.6345463,-0.186409,-0.18039513,-0.19594955
0.31986046,0.30270767,0.2755003,0.42628765,0.41992188,0.50836563
0,0,0,0,0,0
0,13.260479,14.092426,15.056596,14.902611,14.994398
0,0,0,0,0,0
-1.0323725,-1.0073166,-0.9987154,-0.942461,-0.97330093,-0.9204731
2.596468,2.521204,2.5269794,2.9026127,2.879053,2.9168816
-0.67937183,-0.81303215,-0.78115463,0.04604435,0.03949642,-0.007520676
0,14.011926,13.430976,0,0,0
7.6874976,7.711326,7.736029,8.096855,8.07526,8.234713
0,0,0,0,0,0
15.027128,14.895481,14.980095,0,0,0
13.078318,0,0,14.010703,13.902092,13.9382925
15.447632,15.290956,15.283052,0,0,0
11.583553,12.174301,12.172739,13.143862,13.07029,12.929812
-14.886309,-14.886309,-14.886309,-14.886309,-14.886309,-14.886309
0,0,0,0,0,0
0,17.194027,17.163847,0,0,0
0.2650795,0.28796768,0.24131298,0.54473305,0.48448277,0.47676563
15.768727,15.753243,15.863025,14.883408,14.863508,14.973967
-0.48242855,-0.5770054,-0.5122185,-0.3256817,-0.4286995,-0.57543373
15.914339,15.781974,16.010397,15.651892,0,0
-0.06661129,-0.29649162,0.2759819,0.14045143,0.21564388,0.17658138
0,0,0,0,0,0
0.019791603,0.017650604,0.01698494,0.16819096,0.14943504,0.07030773
12.427836,12.448116,12.381814,12.738936,12.637077,12.74966
0,11.914011,11.924442,0,0,0
-14.922749,-0.8007288,-1.0126677,-14.922749,-14.922749,-14.922749
-0.100800514,-0.21133804,-0.18377304,0.013838768,-15.364693,-0.040441513
-14.154439,-14.154439,-14.154439,-14.154439,-14.154439,-14.154439
-14.314806,-14.314806,-0.8575525,-0.239995,-1.0026321,-0.25749207
0,0,0,0,0,0
0,0,0,13.905481,0,0
6.862179,6.897704,6.7170076,7.00797,7.0657673,7.031502
0.00534153,0.045640945,-0.02713108,-0.009173393,-0.027484894,-0.07209873
-0.8706989,-14.725178,-0.8203554,-0.33111763,-0.40353203,-0.28599644
-0.47111797,-0.4471588,-0.5343771,0.08037567,0.21355534,0.02873516
13.348866,13.348175,13.392855,15.10881,15.07343,15.028554
0,0,0,0,0,0
-0.7778044,-14.015163,-14.015163,-0.77855206,-0.8834667,-14.015163
0,0,0,0,0,0
7.088877,6.9834943,7.0686088,7.16919,7.1085706,7.164681
0,0,0,0,13.791671,0
0,0,0,0,11.874981,12.035142
-0.5086727,-0.58055305,-0.4831047,0.07719135,0.0413332,0.016888618
-0.82857037,-0.77214813,-1.0633421,-0.1479044,-0.28726292,-0.14118099
0,0,0,0,0,0
-1.1318874,-1.1322603,-1.0821152,-0.8735256,-1.0081921,-14.633102
14.23272,0,14.034025,0,0,0
-14.584534,-14.584534,-0.14912415,-0.17826271,-0.24600601,-0.2485857
-14.559121,-0.8166008,-0.8427305,-1.178524,-0.90269566,-0.6581602
0,0,0,13.481421,0,0
14.589358,14.7151575,14.642672,13.65955,13.703147,13.671762
-0.7501631,-0.75045776,-0.7761564,-0.9856415,-14.008877,-0.83863926
-14.209766,-14.209766,-14.209766,-2.2871819,-2.45864,-14.209766
-0.86371803,-1.0102005,-0.95164585,-0.5128584,-0.31809044,-0.4964285
11.684749,0,11.593391,0,0,0
14.143542,13.929721,13.804334,13.980675,13.872193,14.055113
0,0,0,0,0,0
-0.65511227,-0.57223034,-0.6612358,-14.092604,-0.069542885,-0.057890892
0,0,0,13.387479,13.422328,13.445273
5.4867344,-7.2283697,5.4387417,5.7388563,5.714695,5.662655
0.18953896,0.13401127,0.14734745,0.23218155,0.21711254,0.14785862
-7.316895,-7.316895,-7.316895,5.832376,5.982599,5.987456
-13.148553,-13.148553,-13.148553,-13.148553,-13.148553,-13.148553
-6.1898246,-6.1898246,-6.1898246,-6.1898246,-6.1898246,-6.1898246
5.932259,-6.6801496,-6.6801496,6.357054,6.260898,-6.6801496
0,0,0,0,0,0
0,0,0,0,0,0
-7.080763,5.37405,-7.080763,5.7980547,5.8842993,-7.080763
0,11.790756,12.397408,0,0,12.735132
-0.44337082,-0.32608128,-0.4388361,0.123529434,-0.05430031,-13.147058
0,0,0,0,0,0
-0.42732143,0.007826805,-0.1755743,-0.059365273,-0.08503723,-0.080804825
-7.017056,-7.017056,-7.017056,5.282725,5.845,5.832936
7.038515,-7.286439,6.368085,7.4990654,7.2072916,6.262744
0,0,0,12.163964,0,12.02756
0,0,0,0,0,0
-6.8375926,-6.8375926,-6.8375926,5.6494937,5.713635,5.4138904
-13.056465,-13.056465,-13.056465,-0.11047268,0.057765007,0.12422085
0,0,0,0,0,0
5.7273026,-7.1265917,-7.1265917,5.8537264,5.9668255,-7.1265917
0.76714325,0.6924858,0.5558338,0.6917553,0.81373405,0.79005814
0,0,0,0,0,0
-6.692527,-6.692527,-6.692527,6.0571327,6.1910706,5.8283367
0,0,0,0,0,0
0,0,0,0,0,0
-6.7524095,-6.7524095,-6.7524095,-6.7524095,-6.7524095,-6.7524095
0,0,0,11.974773,0,0
12.82456,12.991521,12.753426,11.763627,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-13.6844635,-0.46468925,-13.6844635,-13.6844635,-13.6844635,-0.49989796
-6.949159,-6.949159,-6.949159,-6.949159,-6.949159,-6.949159
0,0,0,0,0,0
-7.2254443,-7.2254443,-7.2254443,5.8814454,5.9056087,5.6945367
0,0,0,0,0,0
0,0,0,0,0,0
-6.6132812,-6.6132812,-6.6132812,-6.6132812,-6.6132812,-6.6132812
0,0,0,12.653516,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.644646,13.43632,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,12.718319,0,12.158295
14.408927,14.380731,14.541944,0,0,0
-13.409853,-13.409853,-13.409853,-0.5089855,-13.409853,-13.409853
14.848475,14.792688,14.669051,12.129283,11.979068,0
0,0,0,0,0,0
16.844057,16.925009,16.93712,0,0,13.830317
0,0,0,0,0,0
14.999647,15.002814,15.062974,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,14.97033,14.995414,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.979515,14.092839,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.096797,0,0,0,0,0
0,0,0,0,0,0
13.854382,0,14.400012,0,0,0
4.4185715,4.3830338,4.3753357,-12.3305,-12.3305,-12.3305
0,0,0,0,0,0
0,0,12.98513,0,0,0
0,0,0,0,0,0
0,16.032864,16.295141,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.722487,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.197985,0,0,0,0,0
14.664225,14.7882595,14.745463,0,0,0
15.748638,15.623081,0,17.918158,17.789787,17.824951
13.770147,13.881209,13.726431,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.805316,15.566678,15.752511,0,14.317624,0
0,14.455456,14.380664,0,0,0
15.995701,15.986953,16.034779,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.196448,14.635322,14.476683,0,0,0
14.637644,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,13.951831,14.074559,14.066846
0,14.027128,13.988862,0,0,0
0,0,0,0,0,0
0,0,15.4647045,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.73957,13.683324,13.785963,0,0,0
14.544601,0,0,0,0,0
16.683405,16.641178,16.601175,14.18022,14.034799,14.107953
0,0,0,0,0,0
13.034455,0,0,0,0,0
17.184294,17.180006,17.162193,0,0,13.990991
13.483312,13.347206,13.057992,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.161131,13.519882,13.936822,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,15.322246,0,0
13.5168085,13.241089,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
16.260588,16.295374,16.208347,0,0,0
13.371777,0,0,0,0,0
17.61835,17.611723,17.601582,16.151373,16.16977,16.112541
0,0,0,0,0,0
16.113743,16.054201,15.998899,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.981211,12.993646,12.998942,0,0,0
0,0,15.807757,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.705956,15.700087,15.726937,0,0,0
0,0,0,0,0,0
13.842055,13.909049,0,0,0,0
0,0,0,0,0,0
0,14.823617,0,0,0,0
0,0,0,0,0,0
14.835951,14.6817875,14.557942,0,0,0
14.164042,14.644195,0,0,0,0
-7.715684,-7.715684,-7.715684,-7.715684,-7.715684,-7.715684
0,0,0,0,0,0
17.07365,16.978655,0,14.619647,14.650379,14.507547
0,0,0,0,0,0
0,0,0,0,0,0
-8.625713,-8.625713,-8.625713,-8.625713,-8.625713,-8.625713
0,0,0,0,0,0
-6.0797777,-6.0797777,-6.0797777,-6.0797777,-6.0797777,-6.0797777
14.063227,13.705416,0,0,0,0
0,14.539946,14.465056,0,0,0
15.425839,15.371062,15.33999,14.869401,14.858563,14.7937565
15.094284,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.339433,0,0,0,0
12.636851,13.109178,0,0,0,0
13.879008,0,0,0,0,0
-9.055109,-9.055109,-9.055109,-9.055109,-9.055109,-9.055109
0,0,0,0,0,0
0,13.573528,11.269711,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,15.108035,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.17313,12.686938,13.347622,0,0,0
16.705173,16.666058,16.747013,0,13.109504,13.007378
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,14.976608,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.61586,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.205336,13.244512,0,0,0
0,0,0,0,0,13.324462
0,0,0,0,0,0
9.699001,9.537025,9.628687,9.149736,9.008484,8.927845
0,0,0,0,0,0
15.256577,15.156754,15.245219,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-14.380752,-14.380752,-14.380752,-14.380752,-14.380752,-14.380752
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.207014,14.911158,15.121574,0,0,0
15.767771,0,15.669329,0,0,0
13.711883,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,15.087628,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
